"","gender","numYears","numRaters","numCourses","pepper","discipline","quality","helpfulness","clarity","easiness","raterInterest","area"
"74","female",2,14,4,"yes","Hum",4.428571429,4.642857143,4.214285714,4,3.214285714,"Midwest"
"366","female",2,11,4,"no","Pre-prof",1.409090909,1.363636364,1.454545455,2.636363636,2.272727273,"Midwest"
"104","female",11,29,5,"no","Hum",1.482758621,1.517241379,1.448275862,2.068965517,2.4,"Midwest"
"251","male",11,37,7,"no","STEM",3,3.081081081,2.918918919,3.054054054,2.34375,"Midwest"
"155","male",11,72,7,"no","SocSci",3.8333333,3.8055556,3.8611112,2.6111112,3.6065574,"Midwest"
"204","male",11,13,4,"no","STEM",4.269230769,4.461538462,4.076923077,2.615384615,3.333333333,"Midwest"
"189","female",2,20,2,"no","SocSci",3.625,3.55,3.7,3.5,3.95,"Midwest"
"98","female",2,11,3,"no","Hum",3.3125,3.41666666666667,3.20833333333333,2.45833333333333,3.125,"Midwest"
"183","female",3,22,2,"yes","SocSci",4.29545454545455,4.31818181818182,4.27272727272727,3.95454545454545,3.59090909090909,"Midwest"
"56","male",11,14,7,"no","Hum",4,4,4,2.5,3.875,"Midwest"
"55","male",2,14,4,"yes","Hum",3.464285714,3.285714286,3.642857143,3.357142857,2.785714286,"Midwest"
"279","female",11,13,3,"yes","STEM",4.692307692,4.769230769,4.615384615,4.230769231,3.25,"Midwest"
"121","female",8,39,5,"no","Hum",2.58974359,2.641025641,2.538461538,3.923076923,3.105263158,"Midwest"
"73","female",4,36,6,"no","Hum",4.625,4.66666666666667,4.58333333333333,4.52777777777778,3.72222222222222,"Midwest"
"75","female",11,19,6,"no","Hum",2.3947368,2.2631578,2.5263157,1.7368422,3.0666666,"Midwest"
"57","male",11,29,6,"no","Hum",3.982758621,3.862068966,4.103448276,3.310344828,4.333333333,"Midwest"
"321","male",8,15,2,"yes","Pre-prof",4.16666666666667,4.26666666666667,4.06666666666667,3,3.35714285714286,"Midwest"
"100","female",7,34,7,"no","Hum",3.794117647,3.794117647,3.794117647,4.088235294,2.794117647,"Midwest"
"220","male",11,28,6,"yes","STEM",4.321428571,4.392857143,4.25,2.714285714,3.642857143,"Midwest"
"144","male",3,10,3,"no","SocSci",4.15,4.1,4.2,2.8,3.8,"Midwest"
"84","female",1,19,4,"yes","Hum",3.71052631578947,3.89473684210526,3.52631578947368,2.78947368421053,4.15789473684211,"Midwest"
"51","male",11,24,5,"no","Hum",3.854166667,3.875,3.833333333,3,4.227272727,"Midwest"
"288","female",11,45,4,"no","STEM",2.422222222,2.533333333,2.311111111,2.022222222,3.85,"Midwest"
"69","female",11,10,2,"no","Hum",3.1,3.5,2.7,3,2.8,"Midwest"
"164","male",7,23,7,"no","SocSci",2.630434783,3.173913043,2.086956522,3.173913043,3.65,"Midwest"
"237","male",6,35,6,"no","STEM",3.5625,3.4375,3.6875,3.375,2.8125,"Midwest"
"252","male",11,23,4,"no","STEM",2.58695652173913,2.60869565217391,2.56521739130435,2.69565217391304,2.33333333333333,"Midwest"
"37","male",11,10,4,"no","Hum",4.27777777777778,4.22222222222222,4.33333333333333,3.88888888888889,3.88235294117647,"Midwest"
"157","male",11,85,7,"no","SocSci",2.4941177,2.764706,2.2235293,2.0823529,3.2222223,"Midwest"
"284","female",7,42,2,"no","STEM",4.285714286,4.452380952,4.119047619,3.619047619,3.459459459,"Midwest"
"176","female",11,67,3,"no","SocSci",3.88059701492537,3.74626865671642,4.02985074626866,3.91044776119403,3.56666666666667,"Midwest"
"240","male",11,35,4,"no","STEM",2.671428571,2.885714286,2.457142857,1.971428571,3.64516129,"Midwest"
"200","female",11,15,4,"no","SocSci",3.966666667,3.8,4.133333333,3.4,3.307692308,"Midwest"
"33","male",11,44,6,"no","Hum",2.8295455,3.0227273,2.6363637,2.0454545,3.475,"Midwest"
"17","male",1,14,2,"yes","Hum",4.464285714,4.714285714,4.214285714,3.214285714,2.357142857,"Midwest"
"20","male",11,14,5,"no","Hum",3.5,3.2857144,3.7142856,3.2857144,3.2307692,"Midwest"
"295","female",4,11,3,"no","STEM",3.45454545454545,3.36363636363636,3.54545454545455,2.63636363636364,3.27272727272727,"Midwest"
"81","female",11,30,4,"no","Hum",3.55,3.666666667,3.433333333,1.966666667,4,"Midwest"
"324","male",4,14,4,"no","Pre-prof",4.178571429,4.071428571,4.285714286,3.142857143,4,"Midwest"
"177","female",2,15,3,"no","SocSci",3.666666667,3.866666667,3.466666667,3.533333333,3.466666667,"Midwest"
"211","male",11,21,3,"no","STEM",2.619047619,2.904761905,2.333333333,1.571428571,3.142857143,"Midwest"
"44","male",7,26,5,"no","Hum",4.11538461538461,4.23076923076923,4,2.88461538461538,4.32,"Midwest"
"63","male",8,46,7,"no","Hum",2.293478261,2.282608696,2.304347826,2.456521739,3.806451613,"Midwest"
"262","male",6,20,3,"no","STEM",3,3.4,2.6,2.3,3.05,"Midwest"
"109","female",11,14,2,"no","Hum",3.5,3.714285714,3.285714286,3.5,3.846153846,"Midwest"
"31","male",11,38,4,"no","Hum",4.526315789,4.473684211,4.578947368,3.131578947,4.029411765,"Midwest"
"304","male",3,14,2,"no","Pre-prof",2.392857,2.142857,2.642857,1.4285715,2.7142856,"Midwest"
"169","female",11,10,1,"yes","SocSci",4.6,4.7,4.5,4.5,3.4,"Midwest"
"21","male",7,59,9,"no","Hum",3.4745762,3.542373,3.4067798,2.3559322,3.5370371,"Midwest"
"102","female",11,38,3,"no","Hum",3.236842105,3.631578947,2.842105263,3.421052632,3.457142857,"Midwest"
"78","female",8,26,7,"yes","Hum",4.538461538,4.769230769,4.307692308,3.5,3.730769231,"Midwest"
"10","male",7,18,4,"no","Hum",4.111111111,4.222222222,4,3.666666667,4.176470588,"Midwest"
"349","female",3,24,2,"no","Pre-prof",4.08333,4.58333,3.58333,4.16667,2.625,"Midwest"
"134","female",2,13,2,"no","Hum",3.076923077,3.076923077,3.076923077,3.461538462,2.615384615,"Midwest"
"303","female",3,10,5,"no","STEM",2.9,3.2,2.6,3.1,1.9,"Midwest"
"42","male",11,52,2,"no","Hum",3.067307692,3.403846154,2.692307692,3.076923077,3.442307692,"Midwest"
"342","female",5,10,2,"no","Pre-prof",4.85,4.8,4.9,4,4.2,"Midwest"
"291","female",11,54,4,"no","STEM",3.555555556,3.555555556,3.555555556,2.5,2.607843137,"Midwest"
"317","male",8,68,3,"no","Pre-prof",3.9191177,4.25,3.5882354,2.9117646,2.919355,"Midwest"
"353","female",11,21,3,"no","Pre-prof",4.5,4.428571429,4.571428571,3.619047619,3.428571429,"Midwest"
"2","male",6,11,5,"no","Hum",4.318181818,4.545454545,4.090909091,4.363636364,4,"Midwest"
"142","male",4,15,5,"yes","SocSci",4.333333333,4.333333333,4.333333333,2.933333333,3.933333333,"Midwest"
"226","male",5,25,3,"no","STEM",3.48275862068966,3.48275862068966,3.48275862068966,3.20689655172414,3.89655172413793,"Midwest"
"325","male",8,12,4,"no","Pre-prof",2.9166667,3,2.8333333,2.3333333,3.75,"Midwest"
"153","male",11,19,2,"no","SocSci",3.42105263157895,3.57894736842105,3.26315789473684,4.36842105263158,3.27777777777778,"Midwest"
"165","male",6,36,5,"no","SocSci",2.91666666666667,3.13888888888889,2.69444444444444,3.5,2.86111111111111,"Midwest"
"263","male",5,39,3,"no","STEM",3.166666667,3.333333333,3,2.153846154,3.615384615,"Midwest"
"22","male",10,28,5,"no","Hum",3.6964285,3.7142856,3.6785715,3.642857,3.25,"Midwest"
"345","female",11,16,2,"no","Pre-prof",4.6875,4.625,4.75,3.5,3.1875,"Midwest"
"332","male",6,19,1,"no","Pre-prof",3.44736842105263,3.10526315789474,3.78947368421053,2.47368421052632,3,"Midwest"
"59","male",4,12,3,"no","Hum",2.95833333333333,2.83333333333333,3.08333333333333,2.5,3.5,"Midwest"
"271","male",11,29,6,"no","STEM",2.620689655,2.75862069,2.482758621,3.034482759,3.173913043,"Midwest"
"329","male",6,50,2,"yes","Pre-prof",4.64,4.56,4.72,3.94,4.16,"Midwest"
"188","female",3,13,1,"no","SocSci",2.730769231,2.230769231,3.230769231,3.461538462,2.923076923,"Midwest"
"289","female",11,49,3,"no","STEM",2.33673469387755,2.59183673469388,2.08163265306122,2.18367346938776,2.30232558139535,"Midwest"
"11","male",11,11,4,"no","Hum",4.727272727,4.909090909,4.545454545,4,2.9,"Midwest"
"23","male",1,13,3,"no","Hum",3.57692307692308,3.46153846153846,3.69230769230769,4.61538461538461,2.92307692307692,"Midwest"
"67","female",11,21,7,"no","Hum",4.880952381,4.952380952,4.80952381,4.80952381,3.428571429,"Midwest"
"82","female",7,12,3,"no","Hum",3.166666667,3.333333333,3,3.916666667,3.777777778,"Midwest"
"333","male",11,57,5,"no","Pre-prof",3.719298246,3.912280702,3.526315789,2.561403509,3.092592593,"Midwest"
"149","male",11,42,7,"no","SocSci",3.142857143,3.119047619,3.166666667,2.547619048,3.428571429,"Midwest"
"239","male",11,67,6,"no","STEM",4.23134328358209,4.16417910447761,4.29850746268657,4.16417910447761,2.65079365079365,"Midwest"
"299","female",11,26,4,"no","STEM",2.153846154,2.346153846,1.961538462,2.115384615,2.884615385,"Midwest"
"209","male",6,15,4,"no","STEM",2.646666667,2.8,2.533333333,2,3.2,"Midwest"
"79","female",10,16,2,"no","Hum",1.875,2.1875,1.5625,2.6875,2.666666667,"Midwest"
"334","male",11,34,3,"no","Pre-prof",2.720588235,2.764705882,2.676470588,2.647058824,3.03030303,"Midwest"
"203","male",11,23,5,"no","STEM",2.5652175,2.5652175,2.5652175,1.3913044,3.65,"Midwest"
"108","female",9,19,3,"no","Hum",2.394736842,2.684210526,2.105263158,1.789473684,2.842105263,"Midwest"
"117","female",11,10,5,"no","Hum",3.2,2.8,3.6,2,3,"Midwest"
"80","female",9,20,3,"no","Hum",4.025,3.95,4.1,2.65,3.8125,"Midwest"
"3","male",10,43,2,"no","Hum",4.7906976744186,4.72093023255814,4.86046511627907,4.6046511627907,3.43243243243243,"Midwest"
"35","male",10,15,3,"no","Hum",3.7,3.6,3.8,3.133333333,3.933333333,"Midwest"
"323","male",9,23,5,"no","Pre-prof",4.260869565,4.47826087,4.043478261,4.130434783,2.952380952,"Midwest"
"196","female",3,12,4,"yes","SocSci",3.7916667,3.5,4.0833335,3,3.8333333,"Midwest"
"30","male",11,42,5,"yes","Hum",4.392857143,4.5,4.285714286,3.166666667,3.516129032,"Midwest"
"244","male",10,12,4,"no","STEM",2.791666667,2.75,2.833333333,1.75,3,"Midwest"
"298","female",11,39,4,"no","STEM",3.6538463,4.076923,3.2307692,2.7948718,3.4210527,"Midwest"
"320","male",11,36,3,"no","Pre-prof",2.791666667,2.75,2.777777778,2.194444444,3.114285714,"Midwest"
"283","female",4,21,1,"no","STEM",2.619047619,3.19047619,2.047619048,2.523809524,2.904761905,"Midwest"
"71","female",7,27,6,"no","Hum",4.18,4.32,4.04,3.72,3.84,"Midwest"
"28","male",11,23,10,"no","Hum",4.239130435,4.434782609,4.043478261,2.826086957,3.333333333,"Midwest"
"54","male",11,11,4,"no","Hum",3.045454545,3.090909091,3,3.363636364,3.636363636,"Midwest"
"248","male",1,10,3,"no","STEM",2.8,2.9,2.7,2.4,2.7,"Midwest"
"186","female",10,52,3,"no","SocSci",4.07692307692308,4.07692307692308,4.07692307692308,3.42307692307692,3.65957446808511,"Midwest"
"126","female",6,24,7,"no","Hum",3.7291667,4.0416665,3.4166667,3.1666667,3.3333333,"Midwest"
"135","male",7,10,2,"no","SocSci",4.8,4.9,4.7,4.4,4.5,"Midwest"
"330","male",8,11,6,"no","Pre-prof",2.590909,2.6363637,2.5454545,2.2727273,3.6363637,"Midwest"
"268","male",11,17,5,"no","STEM",4.235294118,4.235294118,4.235294118,2.705882353,4.090909091,"Midwest"
"133","female",9,53,7,"no","Hum",2.79245283,2.698113208,2.886792453,2.735849057,2.913043478,"Midwest"
"24","male",10,15,5,"no","Hum",1.633333333,1.6,1.666666667,2.266666667,3.4,"Midwest"
"198","female",9,50,5,"no","SocSci",2.58,2.6,2.56,2.86,3.1,"Midwest"
"130","female",5,36,9,"no","Hum",3.347222222,3.333333333,3.361111111,3.5,3.5,"Midwest"
"260","male",2,13,2,"no","STEM",4.846153846,4.923076923,4.769230769,3.769230769,4.153846154,"Midwest"
"338","male",11,21,4,"no","Pre-prof",3.095238095,2.80952381,3.380952381,2.666666667,3.444444444,"Midwest"
"179","female",9,13,6,"no","SocSci",4.153846154,4.384615385,3.923076923,4.076923077,3.692307692,"Midwest"
"359","female",11,10,3,"no","Pre-prof",1.9,1.9,1.9,3.8,2.2,"Midwest"
"234","male",10,17,2,"no","STEM",3.5,3.29411764705882,3.70588235294118,2.82352941176471,2.875,"Midwest"
"160","male",10,69,2,"no","SocSci",3.086956522,3.420289855,2.753623188,3.579710145,3.019607843,"Midwest"
"103","female",2,10,4,"yes","Hum",4.7,4.7,4.7,3.7,3.4,"Midwest"
"309","male",8,39,2,"no","Pre-prof",4.294872,4.3846154,4.205128,3.7692308,3.0555556,"Midwest"
"352","female",11,62,3,"no","Pre-prof",3.491935484,3.612903226,3.370967742,2.467741935,2.966101695,"Midwest"
"308","male",11,11,5,"no","Pre-prof",3.954545455,4.363636364,3.545454545,3.636363636,2.909090909,"Midwest"
"13","male",4,23,5,"no","Hum",2.804347826,2.695652174,2.913043478,2.217391304,3.217391304,"Midwest"
"300","female",11,29,4,"no","STEM",2.655172414,2.689655172,2.620689655,2.655172414,4.068965517,"Midwest"
"258","male",4,33,8,"yes","STEM",3.87878787878788,4.03030303030303,3.72727272727273,3.51515151515152,3.3030303030303,"Midwest"
"362","female",5,21,3,"no","Pre-prof",2.619047619,2.714285714,2.523809524,3.619047619,3.411764706,"Midwest"
"210","male",11,25,2,"no","STEM",4.72,4.76,4.68,2.56,3.32,"Midwest"
"154","male",11,56,4,"no","SocSci",2.419642857,2.375,2.464285714,2.142857143,3.111111111,"Midwest"
"53","male",11,65,4,"no","Hum",3.469230769,3.353846154,3.584615385,3.061538462,3.280701754,"Midwest"
"350","female",2,11,4,"no","Pre-prof",3.181818182,3.272727273,3.090909091,3.545454545,3.363636364,"Midwest"
"76","female",11,86,8,"no","Hum",1.6744186,1.6860465,3.360465,1.5581396,2.8148148,"Midwest"
"314","male",7,12,3,"no","Pre-prof",3.166666667,3.166666667,3.25,3.583333333,3.5,"Midwest"
"341","female",11,24,3,"no","Pre-prof",4.86111111111111,4.83333333333333,4.88888888888889,4.72222222222222,4.64705882352941,"Midwest"
"265","male",11,49,7,"no","STEM",2.92857142857143,3.08163265306122,2.77551020408163,3.59183673469388,2.95,"Midwest"
"89","female",11,22,5,"no","Hum",4.545454545,4.545454545,4.545454545,3.5,3.818181818,"Midwest"
"25","male",7,16,2,"no","Hum",3.53125,3.3125,3.75,2.5625,3.8,"Midwest"
"219","male",4,30,2,"no","STEM",1.75,2.16666666666667,1.33333333333333,2.66666666666667,2.96153846153846,"Midwest"
"363","female",4,15,2,"no","Pre-prof",2.966667,3.066667,2.866667,2.666667,2.533333,"Midwest"
"175","female",8,24,3,"no","SocSci",4.57407407407407,4.7037037037037,4.44444444444444,2.88888888888889,3.83333333333333,"Midwest"
"158","male",9,14,1,"no","SocSci",4.178571429,4.142857143,4.214285714,2.428571429,3.785714286,"Midwest"
"290","female",11,36,3,"yes","STEM",4.5,4.555555556,4.444444444,3.305555556,3.65625,"Midwest"
"119","female",7,14,5,"yes","Hum",3.7857144,3.5,4.071429,3.2857144,3.7142856,"Midwest"
"205","male",1,13,2,"no","STEM",3.730769231,3.692307692,3.769230769,3.846153846,2.846153846,"Midwest"
"280","female",11,47,8,"no","STEM",3.43617,3.531915,3.3404255,4.744681,2.9148936,"Midwest"
"77","female",8,25,8,"no","Hum",3.76,3.84,3.68,2.92,3.631578947,"Midwest"
"65","female",11,18,6,"yes","Hum",4.6666665,4.888889,4.4444447,3.0555556,3.9375,"Midwest"
"286","female",3,27,3,"no","STEM",4.98148148148148,5,4.96296296296296,3.96296296296296,3.40740740740741,"Midwest"
"358","female",11,46,4,"no","Pre-prof",4.22826086956522,4.30434782608696,4.15217391304348,3.3695652173913,2.90697674418605,"Midwest"
"171","female",11,85,3,"no","SocSci",4.311764706,4.305882353,4.317647059,4.435294118,3.705882353,"Midwest"
"97","female",7,32,3,"no","Hum",3.21875,3.34375,3.09375,2.15625,2.9375,"Midwest"
"34","male",11,57,3,"yes","Hum",4.552631579,4.561403509,4.543859649,3.614035088,3.901960784,"Midwest"
"346","female",11,10,5,"no","Pre-prof",3.6,3.6,3.6,2.7,4.25,"Midwest"
"50","male",9,36,8,"no","Hum",3.5555556,3.7222223,3.3888888,2.7777777,3.2903225,"Midwest"
"365","female",9,11,5,"no","Pre-prof",1.90909090909091,1.90909090909091,1.90909090909091,2.27272727272727,2.54545454545455,"Midwest"
"150","male",11,74,8,"no","SocSci",2.621621622,2.662162162,2.581081081,2.175675676,3.21875,"Midwest"
"131","female",4,28,3,"no","Hum",3,3.074074074,2.851851852,3.592592593,3.148148148,"Midwest"
"40","male",11,18,2,"no","Hum",3.472222222,3.111111111,3.833333333,3.388888889,4,"Midwest"
"90","female",11,26,8,"no","Hum",3.5,3.807692308,3.192307692,3.692307692,3.153846154,"Midwest"
"140","male",11,30,2,"no","SocSci",4.4,4.36666666666667,4.43333333333333,4.13333333333333,4,"Midwest"
"215","male",11,27,2,"no","STEM",4.7962962962963,4.92592592592593,4.66666666666667,3.14814814814815,2.9047619047619,"Midwest"
"326","male",11,31,2,"no","Pre-prof",2.919354839,2.64516129,3.193548387,2.322580645,2.741935484,"Midwest"
"70","female",2,14,4,"no","Hum",2.10714285714286,1.92857142857143,2.28571428571429,2,3.16666666666667,"Midwest"
"318","male",7,48,4,"no","Pre-prof",4.0625,4.229166667,3.895833333,1.75,3.348837209,"Midwest"
"361","female",11,27,4,"no","Pre-prof",3.462962963,3.333333333,3.592592593,3.111111111,2.555555556,"Midwest"
"94","female",11,69,3,"no","Hum",2.7826087,3,2.5652175,3.768116,2.903226,"Midwest"
"148","male",11,30,5,"no","SocSci",2.7,2.866666667,2.533333333,1.633333333,3.192307692,"Midwest"
"307","male",11,13,3,"no","Pre-prof",2,2,2,2.84615384615385,2.76923076923077,"Midwest"
"348","female",2,29,2,"yes","Pre-prof",4.12068965517241,4.3448275862069,3.89655172413793,4.03448275862069,3.03448275862069,"Midwest"
"212","male",11,43,3,"no","STEM",4.918604651,5,4.837209302,3.279069767,3.047619048,"Midwest"
"246","male",3,14,2,"no","STEM",4.107142857,4.142857143,4.142857143,3.071428571,3,"Midwest"
"4","male",11,24,5,"no","Hum",4.25,4.458333333,4.041666667,2.791666667,3.181818182,"Midwest"
"217","male",11,35,3,"no","STEM",3.385714286,3.028571429,3.742857143,1.628571429,3.228571429,"Midwest"
"141","male",7,14,2,"no","SocSci",4.071428571,4.071428571,4.142857143,3.142857143,3.5,"Midwest"
"274","male",10,12,2,"no","STEM",2.375,2.41666666666667,2.33333333333333,2.75,2.09090909090909,"Midwest"
"270","male",11,13,3,"no","STEM",3.3076923,3.4615386,3.1538463,2.7692308,3.6923077,"Midwest"
"66","female",9,28,3,"no","Hum",4.732142857,4.857142857,4.607142857,4.5,3.333333333,"Midwest"
"6","male",10,15,9,"no","Hum",4.23333333333333,4.26666666666667,4.2,4.53333333333333,3.91666666666667,"Midwest"
"15","male",11,23,8,"yes","Hum",4.565217391,4.565217391,4.565217391,2.826086957,3.952380952,"Midwest"
"195","female",5,26,6,"no","SocSci",2.807692308,2.730769231,2.884615385,3.576923077,4.272727273,"Midwest"
"159","male",9,47,7,"no","SocSci",2.872340426,3.340425532,2.404255319,3.808510638,2.857142857,"Midwest"
"269","male",11,30,10,"no","STEM",2.85,2.933333333,2.766666667,2.2,3.724137931,"Midwest"
"222","male",11,28,6,"no","STEM",2.714285714,2.892857143,2.535714286,2.75,3.346153846,"Midwest"
"305","male",6,14,7,"no","Pre-prof",4.892857143,4.928571429,4.857142857,4.857142857,4,"Midwest"
"356","female",11,11,2,"no","Pre-prof",3.31818181818182,3.09090909090909,3.54545454545455,2.18181818181818,2.72727272727273,"Midwest"
"335","male",6,16,2,"no","Pre-prof",3.6875,3.8125,3.5625,3.4375,2.769230769,"Midwest"
"214","male",11,11,2,"no","STEM",4.045454545,4.090909091,4,3,2.909090909,"Midwest"
"313","male",11,10,3,"no","Pre-prof",3.1,3.5,2.7,1.9,2.5,"Midwest"
"292","female",10,31,6,"no","STEM",4.064516129,4.096774194,4.032258065,3.258064516,2.32,"Midwest"
"273","male",11,11,6,"no","STEM",3.727272727,4,3.454545455,3.272727273,4.181818182,"Midwest"
"227","male",11,53,8,"no","STEM",3.490566038,3.924528302,3.056603774,3,2.85106383,"Midwest"
"47","male",3,12,3,"yes","Hum",4.7083335,4.75,4.6666665,3.6666667,3.4166667,"Midwest"
"110","female",8,17,5,"no","Hum",3.47058823529412,3.52941176470588,3.41176470588235,3.29411764705882,2.875,"Midwest"
"161","male",2,11,2,"no","SocSci",3.40909090909091,3.45454545454545,3.36363636363636,3.81818181818182,3.09090909090909,"Midwest"
"93","female",11,24,7,"no","Hum",3.9583333,3.9166667,4,2.75,3.6666667,"Midwest"
"238","male",8,38,5,"no","STEM",3.960526316,4,3.921052632,2.578947368,3.2,"Midwest"
"242","male",11,58,4,"no","STEM",3.103448276,3.275862069,2.931034483,2.224137931,3.810344828,"Midwest"
"83","female",10,21,3,"no","Hum",2.52380952380952,2.42857142857143,2.61904761904762,1.85714285714286,2.45,"Midwest"
"275","male",11,18,5,"no","STEM",3.722222222,3.944444444,3.5,3.5,2.444444444,"Midwest"
"8","male",11,16,3,"no","Hum",2.0625,2.0625,2.0625,1.4375,2.9375,"Midwest"
"216","male",11,37,5,"no","STEM",3.06756756756757,3.10810810810811,3.02702702702703,2.18918918918919,3.02857142857143,"Midwest"
"45","male",10,15,3,"no","Hum",2.9,3.2,2.6,3.8,2.733333333,"Midwest"
"328","male",8,33,4,"no","Pre-prof",4.393939394,4.424242424,4.363636364,3.454545455,3.285714286,"Midwest"
"221","male",11,33,3,"no","STEM",4.66666666666667,4.75757575757576,4.57575757575758,3.21212121212121,3.35483870967742,"Midwest"
"136","male",7,21,2,"no","SocSci",4.571428571,4.571428571,4.571428571,4.238095238,4.095238095,"Midwest"
"107","female",11,36,4,"no","Hum",3.208333333,3.222222222,3.194444444,2.083333333,2.647058824,"Midwest"
"58","male",11,54,6,"yes","Hum",4.518518519,4.518518519,4.518518519,4.074074074,4.340909091,"Midwest"
"132","female",11,10,4,"no","Hum",4.1,4.1,4.1,2.6,3.3,"Midwest"
"297","female",8,80,8,"no","STEM",2.0875,2.375,1.8,2.3875,2.733333333,"Midwest"
"190","female",11,32,4,"no","SocSci",4.5625,4.46875,4.65625,3.875,4.26666666666667,"Midwest"
"38","male",3,18,2,"no","Hum",4.416666667,4.611111111,4.222222222,3.111111111,3.5,"Midwest"
"339","female",9,10,1,"no","Pre-prof",4.05,3.9,4.2,4.9,3.2,"Midwest"
"111","female",10,54,3,"no","Hum",4.30555555555556,4.25925925925926,4.35185185185185,3.2037037037037,2.92,"Midwest"
"5","male",11,19,7,"no","Hum",4.684210526,4.684210526,4.684210526,4.473684211,4.214285714,"Midwest"
"360","female",3,24,4,"no","Pre-prof",1.9375,2.25,1.625,2.333333333,2.5625,"Midwest"
"247","male",9,41,5,"no","STEM",3.329268293,3.512195122,3.146341463,3,3.028571429,"Midwest"
"145","male",11,30,5,"no","SocSci",3.3666666,3.5666666,3.1666667,2.3666666,3.2962964,"Midwest"
"191","female",5,23,3,"no","SocSci",3.173913043,3.130434783,3.217391304,3.173913043,4.086956522,"Midwest"
"272","male",11,29,3,"no","STEM",3.103448276,3.172413793,3.034482759,2.75862069,2.962962963,"Midwest"
"267","male",11,57,7,"no","STEM",2.50877193,2.561403509,2.473684211,3.01754386,2.350877193,"Midwest"
"52","male",3,29,4,"no","Hum",3.913793103,3.965517241,3.862068966,2.965517241,4.32,"Midwest"
"173","female",7,39,5,"yes","SocSci",4.11538461538461,4.17948717948718,4.05128205128205,2.41025641025641,3.82857142857143,"Midwest"
"170","female",10,56,2,"no","SocSci",4.544643,4.517857,4.571429,4.303571,3.2857144,"Midwest"
"86","female",4,31,3,"yes","Hum",4.70967741935484,4.80645161290323,4.61290322580645,3.64516129032258,3.87096774193548,"Midwest"
"163","male",10,14,5,"no","SocSci",1.60416666666667,1.5,1.70833333333333,2.08333333333333,2.45454545454545,"Midwest"
"146","male",11,53,3,"no","SocSci",4.4905663,4.283019,4.6981134,3.6037736,3.4285715,"Midwest"
"202","male",11,17,9,"no","STEM",2.529411765,2.411764706,2.647058824,2.235294118,3.333333333,"Midwest"
"68","female",8,26,8,"yes","Hum",4.653846154,4.615384615,4.692307692,4.076923077,3.55,"Midwest"
"322","male",3,32,3,"yes","Pre-prof",4.25,4.21875,4.28125,4.125,3.09375,"Midwest"
"16","male",3,27,5,"yes","Hum",4.94444444444444,4.96296296296296,4.92592592592593,3.7037037037037,3.59259259259259,"Midwest"
"257","male",11,52,6,"no","STEM",3.45192307692308,3.59615384615385,3.26923076923077,3.69230769230769,2.78723404255319,"Midwest"
"199","female",11,57,4,"no","SocSci",2.7280703,2.5263157,2.9298246,2.6842105,2.9574468,"Midwest"
"152","male",11,31,4,"no","SocSci",1.467741935,1.483870968,1.451612903,2.483870968,3.225806452,"Midwest"
"233","male",11,19,5,"no","STEM",3.68421052631579,3.94736842105263,3.42105263157895,2.15789473684211,3,"Midwest"
